path,role,format,size_bytes,transparent_background,alpha_channel,sha256
roles/active/png/manager_96.png,asset,png,2995,True,True,9d7cc038f8cb981505b5ac4435a7ced3539def8de4ef9af9a3de22fc278b3551
roles/active/png/musician_96.png,asset,png,4893,True,True,a4fa944fa731c146c3db120754667c296c5e679af5a23dcd882878909e861f1f
roles/active/png/orchestra_96.png,asset,png,6155,True,True,b3450425928c12f91c0d6500bfc37798320721a994724f725e3194cca3acf696
roles/active/png/organization_96.png,asset,png,3613,True,True,62fe6e7b27a3cc47d332c694e24f428202c9bde525750fc0112e0129a17f292f
roles/active/png/producer_96.png,asset,png,5228,True,True,56538102ad42c882ee66e13bb473ab3df229e1b027fed8be7b4837ac2ee95020
roles/active/png/project_96.png,asset,png,3365,True,True,3718cabb599c1d8ee2cbd870011121e270a5d8e2660163ea80bacc89e921135d
roles/active/png/session_musician_96.png,asset,png,3987,True,True,8166ee80534231263b14d6381420b5fcb88163d02834cb151d4d9ab7224a6544
roles/active/png/sound_engineer_96.png,asset,png,3445,True,True,3be2af9bb9bce99b049c7ff3fcaf2f62a01dea68cb8eb01bf887b409d975f29e
roles/active/png/studio_96.png,asset,png,4281,True,True,933320fdb39c60a1ed9b594a5901d75d95931a9ce251fa8d0468e469af2ffc74
roles/active/png/tour_96.png,asset,png,3869,True,True,511493c2350428aae6638067b1fdeaccc52e983961f0590752e683df4a44c8a7
roles/active/png/violinist_96.png,asset,png,4419,True,True,84ba65f97a0c8b6c67e6591600ec924e46aba71db33a829c3d427b3feccaef53
roles/active/png/vocalist_96.png,asset,png,4209,True,True,6b607a0dc7a752dc42aee3e3bffbbfef9c72bcd32954513af92368d30e0962ba
roles/active/svg/bassist.svg,asset,svg,1115,False,False,3f8ca22af4c47b8db2b63c1a1a3bd310725d98294550e66ee5133cabbcd2fe91
roles/active/svg/conductor.svg,asset,svg,1072,False,False,c88ec47ae14259d365e45daec3fce4c654db178eab4c448e04cd560ac06e243f
roles/active/svg/drummer.svg,asset,svg,1129,False,False,21352572036776de9b9a0ed5486cd799b1c0ed1f8b945ac636cf397713f1ac60
roles/active/svg/group.svg,asset,svg,1133,False,False,068eec222848188d19c72ad4dd84787c4e0ab9a0440b2793825f00c21de5f629
roles/active/svg/guitarist.svg,asset,svg,1135,False,False,13ade431ccf955207a18fe06a665213cc6302543b1a4358e173c0017e1077b9e
